MatchImage,Im2,Im3,Im4,Im5,Im6,Q
obj15_sub4_grasp6_extreme0_prime,obj15_sub1_grasp2_extreme0_prime,obj15_sub2_grasp6_extreme0_prime,obj15_sub3_grasp7_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,1
obj15_sub4_grasp6_extreme0_prime,obj15_sub1_grasp2_extreme0_prime,obj15_sub2_grasp6_extreme0_prime,obj15_sub3_grasp7_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,2
obj15_sub4_grasp6_extreme0_prime,obj15_sub1_grasp2_extreme0_prime,obj15_sub2_grasp6_extreme0_prime,obj15_sub3_grasp7_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,3
obj15_sub4_grasp6_extreme0_prime,obj15_sub1_grasp2_extreme0_prime,obj15_sub2_grasp6_extreme0_prime,obj15_sub3_grasp7_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,4
obj15_sub4_grasp6_extreme0_prime,obj15_sub1_grasp2_extreme0_prime,obj15_sub2_grasp6_extreme0_prime,obj15_sub3_grasp7_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,5
obj15_sub4_grasp6_extreme0_prime,obj15_sub1_grasp2_extreme0_prime,obj15_sub2_grasp6_extreme0_prime,obj15_sub3_grasp7_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,6
obj15_sub4_grasp6_extreme0_prime,obj15_sub1_grasp2_extreme0_prime,obj15_sub2_grasp6_extreme0_prime,obj15_sub3_grasp7_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,7
obj15_sub4_grasp6_extreme0_prime,obj15_sub1_grasp2_extreme0_prime,obj15_sub2_grasp6_extreme0_prime,obj15_sub3_grasp7_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,8
obj15_sub4_grasp6_extreme0_prime,obj15_sub1_grasp2_extreme0_prime,obj15_sub2_grasp6_extreme0_prime,obj15_sub3_grasp7_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,obj15_sub5_grasp6_extreme0_prime,9
obj17_sub4_grasp6_extreme0_prime,obj17_sub1_grasp2_extreme0_prime,obj17_sub2_grasp6_extreme0_prime,obj17_sub3_grasp7_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,1
obj17_sub4_grasp6_extreme0_prime,obj17_sub1_grasp2_extreme0_prime,obj17_sub2_grasp6_extreme0_prime,obj17_sub3_grasp7_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,2
obj17_sub4_grasp6_extreme0_prime,obj17_sub1_grasp2_extreme0_prime,obj17_sub2_grasp6_extreme0_prime,obj17_sub3_grasp7_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,3
obj17_sub4_grasp6_extreme0_prime,obj17_sub1_grasp2_extreme0_prime,obj17_sub2_grasp6_extreme0_prime,obj17_sub3_grasp7_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,4
obj17_sub4_grasp6_extreme0_prime,obj17_sub1_grasp2_extreme0_prime,obj17_sub2_grasp6_extreme0_prime,obj17_sub3_grasp7_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,5
obj17_sub4_grasp6_extreme0_prime,obj17_sub1_grasp2_extreme0_prime,obj17_sub2_grasp6_extreme0_prime,obj17_sub3_grasp7_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,6
