MatchImage,Im2,Im3,Im4,Im5,Im6,Q
obj17_sub4_grasp6_extreme0_prime,obj17_sub1_grasp2_extreme0_prime,obj17_sub2_grasp6_extreme0_prime,obj17_sub3_grasp7_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,7
obj17_sub4_grasp6_extreme0_prime,obj17_sub1_grasp2_extreme0_prime,obj17_sub2_grasp6_extreme0_prime,obj17_sub3_grasp7_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,8
obj17_sub4_grasp6_extreme0_prime,obj17_sub1_grasp2_extreme0_prime,obj17_sub2_grasp6_extreme0_prime,obj17_sub3_grasp7_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,obj17_sub5_grasp6_extreme0_prime,9
obj2_sub4_grasp6_extreme0_prime,obj2_sub1_grasp2_extreme0_prime,obj2_sub2_grasp6_extreme0_prime,obj2_sub3_grasp7_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,1
obj2_sub4_grasp6_extreme0_prime,obj2_sub1_grasp2_extreme0_prime,obj2_sub2_grasp6_extreme0_prime,obj2_sub3_grasp7_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,2
obj2_sub4_grasp6_extreme0_prime,obj2_sub1_grasp2_extreme0_prime,obj2_sub2_grasp6_extreme0_prime,obj2_sub3_grasp7_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,3
obj2_sub4_grasp6_extreme0_prime,obj2_sub1_grasp2_extreme0_prime,obj2_sub2_grasp6_extreme0_prime,obj2_sub3_grasp7_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,4
obj2_sub4_grasp6_extreme0_prime,obj2_sub1_grasp2_extreme0_prime,obj2_sub2_grasp6_extreme0_prime,obj2_sub3_grasp7_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,5
obj2_sub4_grasp6_extreme0_prime,obj2_sub1_grasp2_extreme0_prime,obj2_sub2_grasp6_extreme0_prime,obj2_sub3_grasp7_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,6
obj2_sub4_grasp6_extreme0_prime,obj2_sub1_grasp2_extreme0_prime,obj2_sub2_grasp6_extreme0_prime,obj2_sub3_grasp7_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,7
obj2_sub4_grasp6_extreme0_prime,obj2_sub1_grasp2_extreme0_prime,obj2_sub2_grasp6_extreme0_prime,obj2_sub3_grasp7_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,8
obj2_sub4_grasp6_extreme0_prime,obj2_sub1_grasp2_extreme0_prime,obj2_sub2_grasp6_extreme0_prime,obj2_sub3_grasp7_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,obj2_sub5_grasp6_extreme0_prime,9
obj4_sub4_grasp6_extreme0_prime,obj4_sub1_grasp2_extreme0_prime,obj4_sub2_grasp6_extreme0_prime,obj4_sub3_grasp7_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,1
obj4_sub4_grasp6_extreme0_prime,obj4_sub1_grasp2_extreme0_prime,obj4_sub2_grasp6_extreme0_prime,obj4_sub3_grasp7_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,2
obj4_sub4_grasp6_extreme0_prime,obj4_sub1_grasp2_extreme0_prime,obj4_sub2_grasp6_extreme0_prime,obj4_sub3_grasp7_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,3
obj4_sub4_grasp6_extreme0_prime,obj4_sub1_grasp2_extreme0_prime,obj4_sub2_grasp6_extreme0_prime,obj4_sub3_grasp7_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,4
obj4_sub4_grasp6_extreme0_prime,obj4_sub1_grasp2_extreme0_prime,obj4_sub2_grasp6_extreme0_prime,obj4_sub3_grasp7_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,5
obj4_sub4_grasp6_extreme0_prime,obj4_sub1_grasp2_extreme0_prime,obj4_sub2_grasp6_extreme0_prime,obj4_sub3_grasp7_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,6
obj4_sub4_grasp6_extreme0_prime,obj4_sub1_grasp2_extreme0_prime,obj4_sub2_grasp6_extreme0_prime,obj4_sub3_grasp7_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,7
obj4_sub4_grasp6_extreme0_prime,obj4_sub1_grasp2_extreme0_prime,obj4_sub2_grasp6_extreme0_prime,obj4_sub3_grasp7_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,8
obj4_sub4_grasp6_extreme0_prime,obj4_sub1_grasp2_extreme0_prime,obj4_sub2_grasp6_extreme0_prime,obj4_sub3_grasp7_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,obj4_sub5_grasp6_extreme0_prime,9
obj5_sub4_grasp6_extreme0_prime,obj5_sub1_grasp2_extreme0_prime,obj5_sub2_grasp6_extreme0_prime,obj5_sub3_grasp7_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,1
obj5_sub4_grasp6_extreme0_prime,obj5_sub1_grasp2_extreme0_prime,obj5_sub2_grasp6_extreme0_prime,obj5_sub3_grasp7_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,2
obj5_sub4_grasp6_extreme0_prime,obj5_sub1_grasp2_extreme0_prime,obj5_sub2_grasp6_extreme0_prime,obj5_sub3_grasp7_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,3
obj5_sub4_grasp6_extreme0_prime,obj5_sub1_grasp2_extreme0_prime,obj5_sub2_grasp6_extreme0_prime,obj5_sub3_grasp7_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,4
obj5_sub4_grasp6_extreme0_prime,obj5_sub1_grasp2_extreme0_prime,obj5_sub2_grasp6_extreme0_prime,obj5_sub3_grasp7_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,5
obj5_sub4_grasp6_extreme0_prime,obj5_sub1_grasp2_extreme0_prime,obj5_sub2_grasp6_extreme0_prime,obj5_sub3_grasp7_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,6
obj5_sub4_grasp6_extreme0_prime,obj5_sub1_grasp2_extreme0_prime,obj5_sub2_grasp6_extreme0_prime,obj5_sub3_grasp7_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,7
obj5_sub4_grasp6_extreme0_prime,obj5_sub1_grasp2_extreme0_prime,obj5_sub2_grasp6_extreme0_prime,obj5_sub3_grasp7_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,8
obj5_sub4_grasp6_extreme0_prime,obj5_sub1_grasp2_extreme0_prime,obj5_sub2_grasp6_extreme0_prime,obj5_sub3_grasp7_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,obj5_sub5_grasp6_extreme0_prime,9
